"lang_id","code","name","percent","official"
641,"NOR","Bokmal",,TRUE
642,"NOR","Nynorsk",,TRUE
643,"NOR","Other",,FALSE
644,"OMN","Arabic",,TRUE
645,"OMN","English",,FALSE
646,"OMN","Baluchi",,FALSE
647,"OMN","Urdu",,FALSE
648,"OMN","Indian",,FALSE
649,"PAK","Punjabi",48,FALSE
650,"PAK","Sindhi",12,FALSE
651,"PAK","Saraiki",10,FALSE
652,"PAK","Pashto",8,FALSE
653,"PAK","Urdu",8,TRUE
654,"PAK","Balochi",3,FALSE
655,"PAK","Hindko",2,FALSE
656,"PAK","Brahui",1,FALSE
657,"PAK","English",,TRUE
658,"PAK","Burushaski",,FALSE
659,"PAK","Other",,FALSE
660,"PLW","Palauan",65.2,TRUE
661,"PLW","Other",1.9,FALSE
662,"PLW","English",19.1,TRUE
663,"PLW","Filipino",9.9,FALSE
664,"PLW","Chinese",1.2,FALSE
665,"PLW","Other",2.8,FALSE
666,"PAN","Spanish",,TRUE
667,"PAN","indigenous",,FALSE
668,"PAN","Panamanian English Creole",,FALSE
669,"PAN","English",,FALSE
670,"PAN","Chinese",,FALSE
671,"PAN","Arabic",,FALSE
672,"PAN","French",,FALSE
673,"PAN","Other",,FALSE
674,"PAN","Hebrew",,FALSE
675,"PAN","Korean",,FALSE
676,"PAN","Japanese",,FALSE
677,"PNG","Tok Pisin",,TRUE
678,"PNG","English",,TRUE
679,"PNG","Hiri",,TRUE
680,"PNG","Other",,FALSE
681,"PRY","Spanish",,TRUE
682,"PRY","Guarani",,TRUE
683,"PER","Spanish",84.1,TRUE
684,"PER","Quechua",13,TRUE
685,"PER","Aymara",1.7,TRUE
686,"PER","Ashaninka",0.3,FALSE
687,"PER","Other Native",0.7,FALSE
688,"PER","Other",0.2,FALSE
689,"PHL","Filipino",,TRUE
690,"PHL","English",,TRUE
691,"PHL","Other",,FALSE
692,"POL","Polish",98.2,TRUE
693,"POL","Silesian",1.4,FALSE
694,"POL","Other",1.1,FALSE
695,"POL","unspecified",1.3,FALSE
696,"PRT","Portuguese",,TRUE
697,"PRT","Mirandese",,TRUE
698,"PRI","Spanish",,FALSE
699,"PRI","English",,FALSE
700,"QAT","Arabic",,TRUE
701,"QAT","English",,FALSE
702,"ROM","Romanian",85.4,TRUE
703,"ROM","Hungarian",6.3,FALSE
704,"ROM","Romani",1.2,FALSE
705,"ROM","Other",1,FALSE
706,"ROM","unspecified",6.1,FALSE
707,"RUS","Russian",85.7,TRUE
708,"RUS","Tatar",3.2,FALSE
709,"RUS","Chechen",1,FALSE
710,"RUS","Other",10.1,FALSE
711,"RWA","Kinyarwanda",99.4,TRUE
712,"RWA","French",0.1,TRUE
713,"RWA","English",0.1,TRUE
714,"RWA","Swahili",0.02,FALSE
715,"RWA","Other",0.03,FALSE
716,"RWA","unspecified",0.3,FALSE
717,"KNA","English",,TRUE
718,"LCA","English",,TRUE
719,"LCA","French patois",,FALSE
720,"SPM","French",,TRUE
721,"VCT","English",,FALSE
722,"VCT","French patois",,FALSE
723,"WSM","Samoan",,TRUE
724,"WSM","English",,FALSE
725,"SMR","Italian",,FALSE
726,"STP","Portuguese",98.4,TRUE
727,"STP","Forro",36.2,FALSE
728,"STP","Cabo",8.5,FALSE
729,"STP","French",6.8,FALSE
730,"STP","Angolar",6.6,FALSE
731,"STP","English",4.9,FALSE
732,"STP","Lunguie",1,FALSE
733,"STP","Other",2.4,FALSE
